reference_label,entity_id,pdf_page,thesis_page,section,citation_context,citation_mode,citation_purpose,mapping_confidence
43,E043,19,12,,"45]以及高中[42,44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-",转述/概述,,高
60,E060,19,12,,",44,45]的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本",转述/概述,,高
61,E061,19,12,,"的教学设计四个方面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、",转述/概述,,高
62,E062,19,12,,"面进行研究；按照融入的学 科类型划分；学者们从物理[38,45]、地理[41-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[5",转述/概述,,高
46,E046,18,11,,-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种,转述/概述,,高
47,E047,18,11,,-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种,转述/概述,,高
48,E048,18,11,,-43]、语文[60]、美术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种,转述/概述,,高
49,E049,18,11,,术[61]以及音乐[62]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种 课型进行研究。 在,转述/概述,,高
50,E050,18,11,,2]等七个 方面进行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种 课型进行研究。 在研究结论方面，有的学者,转述/概述,,高
63,E063,19,12,,行研究；按照融入的课程类型划分，学者们分别从机器人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种 课型进行研究。 在研究结论方面，有的学者得到 STEAM,转述/概述,,高
54,E054,18,11,,人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种 课型进行研究。 在研究结论方面，有的学者得到 STEAM 教学活动设计模式在一定的教学情 境中具有有效性和可行性,转述/概述,,高
55,E055,18,11,,人课程[46-48]、校本 课程[49]、信息技术课程[50]、纸艺课程[63]、App Inventor 创新实践课程[54-55]等五种 课型进行研究。 在研究结论方面，有的学者得到 STEAM 教学活动设计模式在一定的教学情 境中具有有效性和可行性,转述/概述,,高
38,E038,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
39,E039,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
40,E040,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
41,E041,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
42,E042,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
43,E043,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
44,E044,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
45,E045,18,11,,教育理念的教学设计研究中 得到 STEAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含,转述/概述,,高
51,E051,18,11,,EAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含“高中教学”为主题词，时间跨度设置为,转述/概述,,高
52,E052,18,11,,EAM 教育可以促进学科间的融合培养学生的创新能力、实践能力、综合 解决问题的能力[38-45]，以及对数学学科核心素养[51-52]的发展有一定的帮助。 2.2.2 高中函数教学 在 CNKI 平台中以“函数”并含“高中教学”为主题词，时间跨度设置为,转述/概述,,高
64,E064,19,12,,象、研究结论四个维度梳理文献。 在研究内容方面，有的学者通过分析初高中数学教学上的差异，提出了初高 中衔接教育方面的理念[64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71,转述/概述,,高
65,E065,19,12,,象、研究结论四个维度梳理文献。 在研究内容方面，有的学者通过分析初高中数学教学上的差异，提出了初高 中衔接教育方面的理念[64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71,转述/概述,,高
66,E066,19,12,,象、研究结论四个维度梳理文献。 在研究内容方面，有的学者通过分析初高中数学教学上的差异，提出了初高 中衔接教育方面的理念[64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71,转述/概述,,高
67,E067,19,12,,学教学上的差异，提出了初高 中衔接教育方面的理念[64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者,转述/概述,,高
68,E068,19,12,,学教学上的差异，提出了初高 中衔接教育方面的理念[64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者,转述/概述,,高
69,E069,19,12,,学教学上的差异，提出了初高 中衔接教育方面的理念[64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者,转述/概述,,高
70,E070,19,12,,64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学,转述/概述,,高
71,E071,19,12,,64-66]。有的学者通过对高中函数的概念性学习，提出相应 的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学,转述/概述,,高
72,E072,19,12,,的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助,转述/概述,,高
73,E073,19,12,,的教学内容[67-69]。有的学者对数学思想和方法教学相结合[70-71]，将问题进行类化 分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助,转述/概述,,高
74,E074,19,12,,分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育,转述/概述,,高
75,E075,19,12,,分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育,转述/概述,,高
76,E076,19,12,,分析，以便应用到解题过程当中[72-73]。有的学者将高中阶段数学的文化现象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育,转述/概述,,高
77,E077,19,12,,阶段数学的文化现象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[,转述/概述,,高
78,E078,19,12,,象与教 育相结合，保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教,转述/概述,,高
79,E079,19,12,,保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[,转述/概述,,高
80,E080,19,12,,保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[,转述/概述,,高
81,E081,19,12,,保证学生学习过程中的趣味性[74-76]。有的学者推崇利用现有条件辅助 教学，数学实验[77]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[,转述/概述,,高
82,E082,19,12,,"]，多媒体[78]，几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [8",转述/概述,,高
83,E083,19,12,,"几何画板[79-81]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87",转述/概述,,高
79,E079,19,12,,"]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]",转述/概述,,高
84,E084,19,12,,"]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]",转述/概述,,高
85,E085,19,12,,"]作为辅助工具应用到实践教育中来。 其中有的学者提出一些新的教育思路，尝试教学法[82]，创新型教育[83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]",转述/概述,,高
86,E086,19,12,,"2]，创新型教育[83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]，从而更具体化，专业化的对高中数学函 数进行剖析，来针对疑难问题做出相应",转述/概述,,高
87,E087,19,12,,"83]，数形结 合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]，从而更具体化，专业化的对高中数学函 数进行剖析，来针对疑难问题做出相应的教学对策。 在研",转述/概述,,高
88,E088,19,12,,"合[79,84-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]，从而更具体化，专业化的对高中数学函 数进行剖析，来针对疑难问题做出相应的教学对策。 在研究方法方面，所有",转述/概述,,高
89,E089,19,12,,-85]的一系列教育思维。还有的学者对某一领域的函数进行专项研究：指数 [86]、三角函数[87]、微积分[88]、导数[89]，从而更具体化，专业化的对高中数学函 数进行剖析，来针对疑难问题做出相应的教学对策。 在研究方法方面，所有的研究都采用了,转述/概述,,高
90,E090,19,12,,"的对高中数学函 数进行剖析，来针对疑难问题做出相应的教学对策。 在研究方法方面，所有的研究都采用了查阅相关文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查",转述/概述,,高
91,E091,19,12,,"的对高中数学函 数进行剖析，来针对疑难问题做出相应的教学对策。 在研究方法方面，所有的研究都采用了查阅相关文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查",转述/概述,,高
72,E072,19,12,,"法方面，所有的研究都采用了查阅相关文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73",转述/概述,,高
75,E075,19,12,,"法方面，所有的研究都采用了查阅相关文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73",转述/概述,,高
91,E091,19,12,,"法方面，所有的研究都采用了查阅相关文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73",转述/概述,,高
72,E072,19,12,,"文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法",转述/概述,,高
79,E079,19,12,,"文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法",转述/概述,,高
92,E092,19,12,,"文献研究的方法[90-91]，分析 了解高中函数的教学内容。大部分研究采用了调查问卷法[72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法",转述/概述,,高
66,E066,19,12,,"72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究",转述/概述,,高
69,E069,19,12,,"72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究",转述/概述,,高
73,E073,19,12,,"72,75,91]与案例分析法 [72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究",转述/概述,,高
91,E091,19,12,,"[72,79,92]，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进",转述/概述,,高
92,E092,19,12,,"，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高",转述/概述,,高
93,E093,19,12,,"，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高",转述/概述,,高
94,E094,19,12,,"，来调查高中生对于函数数学方面的理解与渗透。有一部分研究用了访谈 法[66,69,73]，行动研究法[91]，案例分析法[92-94]，对比高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高",转述/概述,,高
67,E067,19,12,,"高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13",转述/概述,,高
71,E071,19,12,,"高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13",转述/概述,,高
76,E076,19,12,,"高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13",转述/概述,,高
95,E095,19,12,,"高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13",转述/概述,,高
96,E096,19,12,,"高中教育模式与设计进行调查 分析，用来检验教育模式的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13",转述/概述,,高
91,E091,19,12,,"的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71",转述/概述,,高
93,E093,19,12,,"的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71",转述/概述,,高
94,E094,19,12,,"的可靠性。 在研究对象方面，根据学段进行划分，学者们主要着重于高中阶段[67,71,76,95-96] 和初高中衔接阶段[91,93-94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71",转述/概述,,高
71,E071,20,13,,"94]的教学模式与教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层",转述/概述,,高
74,E074,19,12,,"教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策",转述/概述,,高
75,E075,19,12,,"教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策",转述/概述,,高
76,E076,19,12,,"教育设计，并对之进行探讨与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策",转述/概述,,高
77,E077,20,13,,"与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学",转述/概述,,高
78,E078,20,13,,"与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学",转述/概述,,高
79,E079,20,13,,"与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学",转述/概述,,高
80,E080,20,13,,"与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学",转述/概述,,高
92,E092,20,13,,"与研究。根据 辽宁师范大学硕士学位论文 13 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学",转述/概述,,高
82,E082,20,13,,"3 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,",转述/概述,,高
83,E083,20,13,,"3 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,",转述/概述,,高
84,E084,20,13,,"3 内容进行划分时，学者们从数学思想[71]，数学文化[74-76]，辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,",转述/概述,,高
89,E089,20,13,,"辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结",转述/概述,,高
99,E099,20,13,,"辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结",转述/概述,,高
100,E100,20,13,,"辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结",转述/概述,,高
101,E101,20,13,,"辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结",转述/概述,,高
102,E102,20,13,,"辅助工具[77-80,92]，和新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结",转述/概述,,高
70,E070,19,12,,"新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初",转述/概述,,高
71,E071,19,12,,"新 概念的教育模式[82-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初",转述/概述,,高
74,E074,20,13,,"-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初高中数学进行对比，得出初中到高中",转述/概述,,高
76,E076,20,13,,"-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初高中数学进行对比，得出初中到高中",转述/概述,,高
103,E103,20,13,,"-84]四个模式进行划分。在研究教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初高中数学进行对比，得出初中到高中",转述/概述,,高
34,E034,20,13,,"教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初高中数学进行对比，得出初中到高中数 学学习的衔接问题，并提出相",转述/概述,,高
74,E074,20,13,,"教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初高中数学进行对比，得出初中到高中数 学学习的衔接问题，并提出相",转述/概述,,高
77,E077,20,13,,"教学层面，学者们分别从解题策 略[89,99-102]，教学思想[70-71]，数学文化[74,76,103]，教学设计[34,74,77]四个研究方面进行 研究。 在研究结论方面，有的学者通过将初高中数学进行对比，得出初中到高中数 学学习的衔接问题，并提出相",转述/概述,,高
87,E087,20,13,,"将初高中数学进行对比，得出初中到高中数 学学习的衔接问题，并提出相应的教学计划与设计,来培养数学方面的数学学科 核心素养[87,90]。有的学者将信息技术与教学活动融入到一起，设置出良好的授课 体验，并激发学生对信息技术的兴趣[99,105]。有的学者利",转述/概述,,高
